eo	en200_default	en200_rho=2	en200_rho=3	en850_default	en850_rho=2	en850_rho=3
arĝento	ware	are	are	arent	arent	arent
arĝenton	areant	are	aren	reant	reant	arent
danki	wan	dan	dan	dani	dane	dan
dankas	wan	dans	day	dans	dand	and
branĉo	ray	ray	har	bran	barn	bran
branĉon	baren	bran	pran	brand	brann	brane
maĉo	ma	may	ma	may	may	ma
maĉon	may	may	ma	man	man	man
matĉo	mat	mat	mat	mat	math	mat
matĉon	mat	mat	mat	maty	math	mat
sufikso	soum	such	suci	sufis	sucis	suice
sufikson	soumin	sund	suci	sufinc	sucins	surin
precipe	phere	phere	pper	preciec	peche	prece
figo	fif	fi	fi	fig	fig	fig
figon	fif	fin	fi	fing	fing	fing
timema	mime	thme	the	time	time	time
timemaj	tmem	thime	them	timeam	thame	time
timeman	thmem	time	time	timen	timea	time
timemajn	thmem	thime	time	timeam	theman	timema
grandega	herand	rand	haren	rindead	graned	gared
grandegaj	gharendo	gigarent	pranter	greandes	regandea	gragiande
grandegan	gherandon	gardinge	prantera	greanden	regandenta	gragande
grandegajn	gharendon	gharinge	prantera	grenaden	reandental	garigande
fratino	farit	fart	fart	farint	fathon	frant
fratinon	marint	fart	farit	farint	farton	farint
ŝtalo	tha	tha	tay	stal	thal	tal
ŝtalon	tal	tha	tay	tall	calt	tal
diskuti	udist	dust	dist	distin	distu	dudist
diskutas	dust	dust	dust	disust	disut	dudist
antaŭa	wat	ant	ant	ant	anta	ant
antaŭaj	atha	ant	anty	antay	antay	antay
antaŭan	want	ant	anty	antay	antan	anta
antaŭajn	tay	ant	anty	antay	antay	antay
antaŭe	wate	ant	ant	ante	ante	ante
antaŭen	ante	ant	ante	antean	antea	ante
sendi	send	sen	sen	sedn	send	sed
sendas	send	sen	sen	seds	send	send
simila	him	sim	sil	siml	simal	siml
similaj	siml	simy	sill	simill	simal	simla
similan	shim	simy	sicl	isill	simial	simal
similajn	shim	simy	sicl	simill	simlan	simal
gvidi	whi	hid	hid	ivid	hivd	ide
gvidas	hid	dis	hid	vide	vide	vide
sperto	sert	se	ste	sect	pert	sper
sperton	sore	ser	ster	seprent	spert	perte
sperti	sher	se	ste	serte	pert	pert
spertas	sere	sert	best	spertes	pesty	persta
poento	owe	wo	owe	ponte	pone	peon
poenton	porent	woun	powe	ponet	ponte	peont
pomo	om	wo	mo	pome	pow	po
pomon	om	mo	mo	pome	poon	po
bloko	bol	wha	wo	bolk	blow	bol
blokon	bol	whar	wo	blon	blow	blon
bloki	bol	wha	wo	blik	bliw	bol
blokas	bouk	wou	los	bloks	blos	bols
blokado	bould	woud	mold	bloded	bolde	bolte
blokadon	maldo	woud	mold	bloded	colad	bolite
ĵeti	the	the	te	eit	het	te
ĵetas	te	tes	te	est	teas	eat
ĵetis	the	tes	te	best	hent	tes
ĵetanta	tere	than	teat	teant	teant	atent
ĵetantaj	teat	tean	teat	cetant	teant	atent
ĵetantan	tere	tean	teat	ceant	teant	atent
ĵetantajn	teranty	tharent	teanty	ecentaly	cetantan	arantion
ŝati	wat	at	at	awit	ati	bit
ŝatas	was	tas	as	ast	ast	ate
kiel	whe	he	we	ive	cile	ie
verŝajne	thereand	wherian	prerane	veverany	ereancelon	verakonge
aŭdi	wad	ad	ad	adi	adi	ade
aŭdas	ay	das	ay	ads	ades	ade
aŭdis	was	das	ad	adis	adis	ade
aŭdanta	adat	dant	any	adant	adant	adand
aŭdantaj	wantaro	gadant	antay	andastonda	acanteda	aradiant
aŭdantan	wanterand	adant	antay	andatand	antadenta	arandiant
aŭdantajn	wantarndo	yadant	antay	andastand	dantanton	alandian
tasko	tas	thas	tas	tase	stak	tas
taskon	thas	thas	tas	task	stan	tas
taski	thas	thas	tas	tasi	thas	tas
taskas	tas	thas	tas	tass	stay	tas
taskanta	thaaste	thaant	tastas	tastendal	stantean	atarintal
taskantaj	taasteron	thaant	tastas	tastandis	stantean	atariontal
taskantan	thasante	thaant	tastan	tastandan	castentan	atarintal
taskantajn	tasanteron	thaans	tastan	tastand	stantonan	atarintal
saĝa	yas	say	say	say	say	say
saĝaj	say	say	say	say	say	say
saĝan	say	say	say	say	san	as
saĝajn	say	say	say	say	sayn	say
saĝo	say	sa	sa	say	say	sea
saĝon	say	sa	sa	say	san	san
imagi	him	mit	mi	imi	mige	imi
imagas	maris	mias	fas	imas	migas	iame
imagis	mami	mint	fas	imis	migas	iame
imago	mam	ma	mi	ime	miag	ime
imagpovo	whomultro	yithore	manthom	mivalo	aciopero	pariojn
imagado	marid	miad	miay	miade	hiade	amide
kompreni	komperinto	porinte	komprent	romeline	comention	poronite
komprenas	komerunas	yomure	konmeras	comperens	compentas	porongaste
komprenis	komurenis	porminte	konmersan	poreminse	compention	proonsite
komprenado	kormenduron	youre	komprenta	homperenda	coopencado	proogenta
komprenadon	sormandon	yomure	monmerman	pormendean	coopencanto	porondante
komprenanta	somentrant	porment	monmerant	porentante	comentanten	porontante
komprenantaj	somentranto	porment	momantera	poremante	compentantaj	progontame
komprenantan	kormentant	porment	monmerant	porenanten	compentantan	prolontan
komprenantajn	somontrentan	porment	monmerant	porencante	compentantajn	prolontan
fikcio	whim	fint	fic	ficin	ficic	fici
fikcion	whim	hing	fico	ficin	ficin	ficin
fikcia	whim	fint	fic	ficin	fice	fici
fikciaj	fima	finc	fic	ficin	ficia	ficia
fikcian	whim	finc	fici	ficind	ficin	ficin
fikciajn	whincaron	fifinng	fincam	ficinals	ficicanto	fifioncaj
revolucii	wheoulgiggo	poriche	borecil	reviviloj	recicolid	rroculice
revolucias	whoulerido	poruldis	proulas	revolise	reciculas	rerolucis
revolucio	herould	wherich	prouche	revoviloj	recoulico	rerouciol
revolucion	cherould	wherinch	borecito	revelion	recolicon	roroucion
revolucia	wherluldo	whericha	promant	revolivaj	reciculad	rroculice
revoluciaj	wheruldoj	whericha	promant	revilosual	recolical	rrouciles
revolucian	hherulldo	porecing	promant	revelional	recacilon	rorulion
revoluciajn	horeculdo	wherichan	promant	reveliojn	recacilon	reroulion
malrideti	wamilterit	parith	maciter	malivertid	maliterid	pralident
malridetas	malderitas	mardits	manthes	malrested	malisteras	pralidest
malridetis	malidertist	marlit	manthes	maltevides	maliteris	pralisted
malridetanta	malartinta	mardint	mamanter	maltedante	maliterant	pralident
malridetantaj	malartinto	mardint	manthera	maltedante	malterintaj	pralianted
malridetantan	malartent	mardint	mamanter	malerentad	malerintant	raladinte
malridetantajn	malartento	mardint	mamanter	malterdant	maldentranton	praligante
generi	here	here	there	geren	ereng	ener
generas	here	dere	nere	geners	genes	nere
generis	heren	iner	nhere	gerens	henge	nere
generado	herando	ghereant	porentay	reneverdan	reandeo	geronade
generadon	gherendon	deringe	porentay	generedand	erendacon	geronante
generacio	wherenco	gigereant	theranco	reventovar	erecionta	gerionge
generacion	wherenco	geingera	theranco	reventaron	erecionta	gerionge
generanta	gherenta	derint	bentare	genteran	erentanta	gregante
generantaj	gherentaj	ingereat	prentay	genterant	erentantal	gregante
generantan	gherentan	derinta	bentare	generental	erentanten	greganten
generantajn	gherentan	ingereant	benteray	genteran	erentantan	gerangante
krei	her	her	he	her	were	re
kreas	mare	her	re	rees	weas	ter
elfo	he	her	we	lef	fel	fel
elfon	he	her	we	elf	feln	fel
halto	wha	hat	hat	halt	halt	hal
halton	thal	than	wat	halt	halth	alten
halti	whit	hat	ha	alit	halt	alt
haltas	wath	last	was	halts	hales	last
redukti	werudto	wude	bure	redite	redut	redudt
reduktas	werustud	duresth	buresta	revestund	recustund	rredudist
honoro	noro	hour	wor	hoon	hoon	hoon
honoron	horon	hour	horn	orond	coong	oron
honori	owhor	hour	wor	orond	hoong	oron
honoras	horo	hour	wor	hons	hoons	oron
frato	far	fat	far	fort	fart	frat
fraton	frat	fart	fart	frant	farto	fart
nebuloj	beuld	when	noul	benulo	cuale	enuly
nebulojn	cecound	choune	ponteral	neblouns	ceanculon	lounges
kreski	herki	wher	res	resid	teris	reks
kreskas	mares	hers	mers	kress	serks	reast
invoki	wion	hin	ino	ivond	nice	ion
invokas	nomas	dins	nis	inves	nices	ions
markis	marki	mars	mar	maris	maris	mars
markita	marit	mart	mat	marite	marte	marti
markitaj	marasto	marith	martas	maristany	mactionta	praciont
markitan	marmantito	marint	mamant	marintad	mactento	parionta
markitajn	marmantoj	marint	mamant	marmentis	macterinoj	parionta
kanti	wat	ant	at	ant	want	ant
kantas	wast	ant	ant	ants	nast	ante
ĉanti	what	ant	wan	ant	hant	ant
ĉantas	want	ant	ant	an'st	antes	ante
feliĉo	whel	whir	fecl	fivel	ficel	feli
feliĉon	whel	fein	feci	liven	felin	felin
alteco	bale	wath	alt	altece	lace	alte
altecon	bale	wath	wale	lecten	calet	alte
baleno	beal	bane	bale	balene	balen	bale
balenon	bale	wean	mane	balen	balen	balen
mia	ma	ma	ma	mia	mia	mia
miaj	ma	miy	ma	mian	miay	mia
mian	ma	man	ma	min	miny	min
miajn	ma	man	ma	mina	mand	man
vero	her	her	her	ver	ver	ver
veron	her	her	her	ver	wern	ver